experiment_id,run_id,config_id,scope,cache_state,metric,unit,observations,failures,mean,median,standard_deviation,p95
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,3.337223,3.238249,0.334382,3.846509
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,727.827505,740.310710,49.297480,781.757500
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,6778.503527,3384.632845,5389.492062,16073.856607
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,indexing_ms,milliseconds,9,0,3.256076,3.143136,0.455268,4.413377
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,12531.796643,8928.018297,5475.184619,22691.909010
paper_pilot_cuda_final_v3,run_01,text_only,query,not_applicable,query_embedding_ms,milliseconds,45,0,13.560802,11.719924,4.641149,22.346667
paper_pilot_cuda_final_v3,run_01,text_only,query,not_applicable,retrieval_ms,milliseconds,45,0,0.326008,0.208064,0.365947,1.590843
paper_pilot_cuda_final_v3,run_01,text_only,query,not_applicable,generation_ms,milliseconds,45,0,1804.761302,1522.463467,1359.015584,4544.704376
paper_pilot_cuda_final_v3,run_01,text_only,query,not_applicable,total_pipeline_ms,milliseconds,45,0,1822.678441,1535.627472,1361.054143,4558.820466
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,ingestion_ms,milliseconds,9,0,25.227569,22.222629,8.475630,47.678929
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,audio_extraction_ms,milliseconds,9,0,1045.159478,991.825984,156.161458,1276.201086
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,asr_ms,milliseconds,9,0,4031.896146,3838.112385,936.561809,6185.417013
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,frame_extraction_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,text_embedding_ms,milliseconds,9,0,665.925119,633.111365,87.516264,818.752275
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,image_embedding_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,indexing_ms,milliseconds,9,0,2.014265,1.733009,0.847425,4.023127
paper_pilot_cuda_final_v3,run_01,text_only,video_preprocessing,not_applicable,total_pipeline_ms,milliseconds,9,0,5859.514769,5594.393002,958.653696,7965.750179
paper_pilot_cuda_final_v3,run_01,whisper_medium,query,not_applicable,query_embedding_ms,milliseconds,45,0,12.885057,10.904191,6.214236,21.241492
